time,closing,moving average,signal
1/28/16 0:00,2853.76,3565.455667,
1/29/16 0:00,2946.09,3552.791,
2/1/16 0:00,2901.05,3537.919,
2/2/16 0:00,2961.33,3523.2685,
2/3/16 0:00,2948.64,3508.525167,
2/4/16 0:00,2984.76,3494.377,
2/5/16 0:00,2963.79,3480.518167,
2/15/16 0:00,2946.71,3467.192667,
2/16/16 0:00,3037.03,3455.074333,
2/17/16 0:00,3063.32,3443.489833,
2/18/16 0:00,3053.7,3432.4585,
2/19/16 0:00,3051.58,3420.402,
2/22/16 0:00,3118.87,3409.476833,
2/23/16 0:00,3089.36,3398.410667,
2/24/16 0:00,3109.54,3387.6715,
2/25/16 0:00,2918.75,3373.2905,
2/26/16 0:00,2948.03,3359.767167,
2/29/16 0:00,2877.47,3348.441833,
3/1/16 0:00,2930.69,3337.8465,
3/2/16 0:00,3051.33,3328.840333,
3/3/16 0:00,3058.42,3317.781333,
3/4/16 0:00,3093.89,3306.857833,
3/7/16 0:00,3104.84,3297.312,
3/8/16 0:00,3107.67,3287.646333,
3/9/16 0:00,3071.91,3278.461167,
3/10/16 0:00,3013.15,3268.081333,
3/11/16 0:00,3018.28,3258.001333,
3/14/16 0:00,3065.69,3248.961833,
3/15/16 0:00,3074.78,3238.352833,
3/16/16 0:00,3090.03,3228.280167,
3/17/16 0:00,3124.2,3218.926167,
3/18/16 0:00,3171.96,3209.194,
3/21/16 0:00,3249.44,3200.552833,Buy in the next trading day
3/22/16 0:00,3225.79,3189.883167,
3/23/16 0:00,3236.09,3179.205833,
3/24/16 0:00,3181.85,3167.797,
3/25/16 0:00,3197.82,3157.270667,
3/28/16 0:00,3169.73,3146.1295,
3/29/16 0:00,3135.41,3136.259167,Sell in the next trading day
3/30/16 0:00,3216.27,3127.165667,Buy in the next trading day
3/31/16 0:00,3218.09,3118.0475,
4/1/16 0:00,3221.9,3109.5625,
4/5/16 0:00,3264.49,3106.152833,
4/6/16 0:00,3257.53,3102.465333,
4/7/16 0:00,3209.29,3096.956667,
4/8/16 0:00,3185.73,3095.145833,
4/11/16 0:00,3230.1,3092.954833,
4/12/16 0:00,3218.45,3093.388167,
4/13/16 0:00,3261.38,3094.149333,
4/14/16 0:00,3275.83,3096.1485,
4/15/16 0:00,3272.21,3096.9925,
4/18/16 0:00,3228.45,3098.821167,
4/19/16 0:00,3238.3,3100.614,
4/20/16 0:00,3181.03,3099.912333,
4/21/16 0:00,3160.6,3099.682667,
4/22/16 0:00,3174.9,3101.241833,
4/25/16 0:00,3162.03,3102.051333,
4/26/16 0:00,3179.16,3102.889167,
4/27/16 0:00,3165.92,3106.646,
4/28/16 0:00,3160.58,3110.483167,
4/29/16 0:00,3156.75,3115.533,
5/3/16 0:00,3213.54,3119.9905,
5/4/16 0:00,3209.46,3125.130667,
5/5/16 0:00,3213.92,3129.3405,
5/6/16 0:00,3130.35,3132.369,Sell in the next trading day
5/9/16 0:00,3065.62,3133.716667,
5/10/16 0:00,3069.11,3135.472,
5/11/16 0:00,3082.81,3137.740333,
5/12/16 0:00,3090.14,3138.6255,
